    f                 RCS
459000000.0    0.10178503560688912
460000000.0    0.1002909606055593
461000000.0    0.09880427795628237
462000000.0    0.09732521997605938
463000000.0    0.09585401808110186
464000000.0    0.09439090277519496
465000000.0    0.092936103636433
466000000.0    0.09148984930232293
467000000.0    0.09005236745324126
468000000.0    0.08862388479423797
469000000.0    0.08720462703518359
470000000.0    0.08579481886925085
471000000.0    0.08439468394973214
472000000.0    0.08300444486518926
473000000.0    0.0816243231129387
474000000.0    0.08025453907087275
475000000.0    0.07889531196762348
476000000.0    0.07754685985107272
477000000.0    0.07620939955522071
478000000.0    0.07488314666541872
479000000.0    0.07356831548198059
480000000.0    0.07226511898218574
481000000.0    0.07097376878068998
482000000.0    0.06969447508835933
483000000.0    0.06842744666955078
484000000.0    0.06717289079785557
485000000.0    0.06593101321033337
486000000.0    0.06470201806025813
487000000.0    0.0634861078684056
488000000.0    0.06228348347291084
489000000.0    0.06109434397772456
490000000.0    0.05991888669970424
491000000.0    0.05875730711437174
492000000.0    0.05760979880037553
493000000.0    0.05647655338269672
494000000.0    0.055357760474636974
495000000.0    0.05425360761863248
496000000.0    0.05316428022593754
497000000.0    0.052089961515223826
498000000.0    0.051030832450142616
499000000.0    0.04998707167590125
500000000.0    0.04895885545490229
501000000.0    0.04794635760150271
502000000.0    0.046949749415943494
503000000.0    0.04596919961751107
504000000.0    0.04500487427698451
505000000.0    0.044056936748431384
506000000.0    0.04312554760041383
507000000.0    0.04221086454666453
508000000.0    0.04131304237630372
509000000.0    0.04043223288365508
510000000.0    0.03956858479773667
511000000.0    0.038722243711487164
512000000.0    0.037893352010806375
513000000.0    0.0370820488034725
514000000.0    0.036288469848015766
515000000.0    0.03551274748261831
516000000.0    0.03475501055411553
517000000.0    0.03401538434717497
518000000.0    0.0332939905137288
519000000.0    0.03259094700273629
520000000.0    0.03190636799035622
521000000.0    0.031240363810604865
522000000.0    0.030593040886580516
523000000.0    0.029964501662332863
524000000.0    0.02935484453545768
525000000.0    0.028764163790495387
526000000.0    0.02819254953321494
527000000.0    0.02764008762586198
528000000.0    0.027106859623451603
529000000.0    0.026592942711185123
530000000.0    0.026098409643070506
531000000.0    0.025623328681825413
532000000.0    0.025167763540140595
533000000.0    0.024731773323383145
534000000.0    0.02431541247381395
535000000.0    0.02391873071639821
